Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
5.539591422e-5,4.872918899e+14
5.723847407e-5,4.980659160e+14
5.908103391e-5,5.008713685e+14
6.092359375e-5,5.026223730e+14
6.276615360e-5,4.955912767e+14
6.460871344e-5,4.913648946e+14
6.645127329e-5,4.903692004e+14
6.829383313e-5,4.948261350e+14
7.013639298e-5,5.054247385e+14
7.197895282e-5,5.214925132e+14
7.382151267e-5,5.336342850e+14
7.566407251e-5,5.443295925e+14
7.750663235e-5,5.478884426e+14
7.934919220e-5,5.434244617e+14
8.119175204e-5,5.359600769e+14
8.303431189e-5,5.287575846e+14
8.487687173e-5,5.222308449e+14
8.671943158e-5,5.245160024e+14
8.856199142e-5,5.342925894e+14
9.040455127e-5,5.490553651e+14
9.224711111e-5,5.695162202e+14
9.408967096e-5,5.915253775e+14
9.593223080e-5,6.077137803e+14
9.777479064e-5,6.194617238e+14
9.961735049e-5,6.242798718e+14
1.014599103e-4,6.190758478e+14
1.033024702e-4,6.076982110e+14
1.051450300e-4,5.947306981e+14
1.069875899e-4,5.789512567e+14
1.088301497e-4,5.658865031e+14
1.106727096e-4,5.605532946e+14
1.125152694e-4,5.622015218e+14
1.143578292e-4,5.709555040e+14
1.162003891e-4,5.908181172e+14
1.180429489e-4,6.182463152e+14
1.198855088e-4,6.495365612e+14
1.217280686e-4,6.852279408e+14
1.235706285e-4,7.238364755e+14
1.254131883e-4,7.585898745e+14
1.272557482e-4,7.891831950e+14
1.290983080e-4,8.163776528e+14
1.309408678e-4,8.367737143e+14
1.327834277e-4,8.468272932e+14
1.346259875e-4,8.503705070e+14
1.364685474e-4,8.477284982e+14
1.383111072e-4,8.363715980e+14
1.401536671e-4,8.165791136e+14
1.419962269e-4,7.934211198e+14
1.438387868e-4,7.661992815e+14
1.456813466e-4,7.334808917e+14
1.475239064e-4,6.972761293e+14
1.493664663e-4,6.617005797e+14
1.512090261e-4,6.251292016e+14
1.530515860e-4,5.866287792e+14
1.548941458e-4,5.483542453e+14
1.567367057e-4,5.130264280e+14
1.585792655e-4,4.786033388e+14
1.604218254e-4,4.442216894e+14
1.622643852e-4,4.116202369e+14
1.641069450e-4,3.825721651e+14
1.659495049e-4,3.551082987e+14
1.677920647e-4,3.282641491e+14
1.696346246e-4,3.032949541e+14
1.714771844e-4,2.815595003e+14
1.733197443e-4,2.614777432e+14
1.751623041e-4,2.419323369e+14
1.770048640e-4,2.237039420e+14
1.788474238e-4,2.080554971e+14
1.806899836e-4,1.939843790e+14
1.825325435e-4,1.802710685e+14
1.843751033e-4,1.671679286e+14
1.862176632e-4,1.558877171e+14
1.880602230e-4,1.461138311e+14
1.899027829e-4,1.367078192e+14
1.917453427e-4,1.273441110e+14
1.935879026e-4,1.189894433e+14
1.954304624e-4,1.119911967e+14
1.972730222e-4,1.056056122e+14
1.991155821e-4,9.905332919e+13
2.009581419e-4,9.273427467e+13
